year,author,author
2007,Rives,1
2007,Robin Chase,1
2007,Ron Eglash,1
2007,Seyi Oyesola,1
2007,Stephen Lawler,1
2007,Steve Jurvetson,1
2007,Steven Pinker,1
2007,Sugata Mitra,1
2007,Theo Jansen,1
2007,They Might Be Giants,1
2007,VS Ramachandran,1
2007,Will Wright,1
2007,William Kamkwamba,1
2007,Yossi Vardi,1
2007,Zeresenay Alemseged,1
2008,Nellie McKay,3
2008,Adam Savage,1
2008,Al Gore,1
2008,Alisa Miller,1
2008,Amy Tan,1
2008,Andy Hobsbawm,1
2008,Barry Schuler,1
2008,Benjamin Wallace,1
2008,Benjamin Zander,1
2008,Brian Cox,1
2008,Bruce McCall,1
2008,Bruno Bowden + Rufus Cappadocia,1
2008,Charles Elachi,1
2008,Chris Abani,1
2008,Chris Jordan,1
2008,Christopher deCharms,1
2008,Craig Venter,1
2008,Dan Ariely,1
2008,Dan Barber,1
2008,Dave Eggers,1
2008,David Griffin,1
2008,David Hoffman,1
2008,David Pogue,1
2008,Dean Ornish,1
2008,Dennis vanEngelsdorp,1
2008,Doris Kearns Goodwin,1
2008,Garrett Lisi,1
2008,Gary Vaynerchuk,1
2008,George Smoot,1
2008,Gregory Petsko,1
2008,Helen Fisher,1
2008,Irwin Redlener,1
2008,Isaac Mizrahi,1
2008,JK Rowling,1
2008,James Nachtwey,1
2008,Jay Walker,1
2008,Jennifer 8. Lee,1
2008,Jill Bolte Taylor,1
2008,John Francis,1
2008,John Hodgman,1
2008,John Maeda,1
2008,Johnny Lee,1
2008,Jonathan Haidt,1
2008,Joshua Klein,1
2008,Kaki King,1
2008,Karen Armstrong,1
2008,Laura Trice,1
2008,Louise Leakey,1
2008,Marc Pachter,1
2008,Mike Rowe,1
2008,Miru Kim,1
2008,Neil Turok,1
2008,Nicholas Negroponte,1
2008,Patricia Burchat,1
2008,Patsy Rodenburg,1
2008,Paul Collier,1
2008,Paul Rothemund,1
2008,Paul Stamets,1
2008,Paula Scher,1
2008,Peter Diamandis,1
2008,Peter Reinhart,1
2008,Peter Ward,1
2008,Philip Rosedale,1
2008,Philip Zimbardo,1
2008,Richard Preston,1
2008,Rives,1
2008,Robert Ballard,1
2008,Robert Lang,1
2008,Roy Gould + Curtis Wong,1
2008,Samantha Power,1
2008,Scott Kim,1
2008,Siegfried Woldhek,1
2008,Stefan Sagmeister,1
2008,Stephen Hawking,1
2008,Stuart Brown,3
2008,Susan Blackmore,1
2008,Sxip Shirey + Rachelle Garniez,1
2008,Tim Brown,1
2008,Tim Ferriss,1
2008,Tod Machover + Dan Ellsey,1
2008,Wade Davis,1
2008,Yves Béhar,1
2009,Hans Rosling,3
2009,Aimee Mullins,2
2009,Eric Lewis,2
2009,Gordon Brown,2
2009,Jacqueline Novogratz,2
2009,Tom Wujec,2
2009,Aditi Shankardass,1
2009,Al Gore,1
2009,Alain de Botton,1
2009,Alex Tabarrok,1
2009,Alexis Ohanian,1
2009,Alwar Balasubramaniam,1
2009,Ananda Shankar Jayant,1
2009,Andrea Ghez,1
2009,Anil Gupta,1
2009,Anthony Atala,1
2009,Anupam Mishra,1
2009,Arthur Benjamin,1
2009,Asher Hasan,1
2009,Barry Schwartz,1
2009,Beau Lotto,1
2009,Becky  Blanton,1
2009,Bertrand Piccard,1
2009,Bill Davenhall,1
2009,Bill Gates,1
2009,Bjarke Ingels,1
2009,Bobby McFerrin,1
2009,Bonnie Bassler,1
2009,Brian Cox,1
2009,Bruce Bueno de Mesquita,1
2009,Cameron Sinclair,1
2009,Carne Ross,1
2009,Carolyn Porco,1
2009,Carolyn Steel,1
2009,Cary Fowler,1
2009,Cat Laine,1
2009,Catherine Mohr,1
2009,Charles Anderson,1
2009,Charles Moore,1
2009,Chimamanda Ngozi Adichie,1
2009,Cindy Gallop,1
2009,Clay Shirky,1
2009,Cynthia Schneider,1
2009,Dan Ariely,1
2009,Dan Buettner,1
2009,Dan Dennett,1
2009,Dan Pink,1
2009,Daniel Kraft,1
2009,Daniel Libeskind,1
2009,David Agus,1
2009,David Blaine,1
2009,David Deutsch,1
2009,David Hanson,1
2009,David Logan,1
2009,David Merrill,1
2009,Dayananda Saraswati,1
2009,Dean Kamen,1
2009,Dennis Hong,1
2009,Derek Sivers,1
2009,Devdutt Pattanaik,1
2009,Diane Benscoter,1
2009,Diane J. Savino,1
2009,Ed Ulbrich,1
2009,Edward Burtynsky,1
2009,Elaine Morgan,1
2009,Elizabeth Gilbert,1
2009,Emmanuel Jal,1
2009,Eric Dishman,1
2009,Eric Giler,1
2009,Eric Mead,1
2009,Eric Sanderson,1
2009,Eric Topol,1
2009,Erik Hersman,1
2009,Evan Grant,1
2009,Evan Williams,1
2009,Eve Ensler,1
2009,Evgeny Morozov,1
2009,Feisal Abdul Rauf,1
2009,Fields Wicker-Miurin,1
2009,Garik Israelian,1
2009,Geoff Mulgan,1
2009,George Whitesides,1
2009,Gever Tulley,1
2009,Golan Levin,1
2009,Gustavo Dudamel and the Teresa Carreño Youth Orchestra,1
2009,Harsha Bhogle,1
2009,Henry Markram,1
2009,Herbie Hancock,1
2009,His Holiness the Karmapa,1
2009,Ian Goldin,1
2009,Imogen Heap,1
2009,Itay Talgam,1
2009,Jacek Utko,1
2009,Jackie Tabick,1
2009,James Balog,1
2009,James Forbes,1
2009,James Geary,1
2009,Jamie Heywood,1
2009,Jane Chen,1
2009,Jane Poynter,1
2009,Janine Benyus,1
2009,Jay Walker,1
2009,Jill Tarter,1
2009,Jim Fallon,1
2009,JoAnn Kuchera-Morin,1
2009,Joachim de Posada,1
2009,Joel Levine,1
2009,John Gerzema,1
2009,John La Grou,1
2009,John Lloyd,1
2009,Jonathan Drori,1
2009,Jonathan Zittrain,1
2009,Joshua Prince-Ramus,1
2009,Joshua Silver,1
2009,José Antonio Abreu,1
2009,Juan Enriquez,1
2009,Julian Treasure,1
2009,Kamal Meattle,1
2009,Karen Armstrong,1
2009,Kartick Satyanarayan,1
2009,Kary Mullis,1
2009,Kavita Ramdas,1
2009,Ken Kamler,1
2009,Kevin Kelly,1
2009,Kevin Surace,1
2009,Kiran Sethi,1
2009,Lalitesh Katragadda,1
