author,count
T. Morgan Dixon and Vanessa Garrison,2
Latif Nasser,2
Natalie MacMaster,2
Richard E. Cytowic,2
Eddi Reader,2
Lewis Pugh,2
Kayla Wolf,2
Paul Collier,2
Frank Gehry,2
Countdown,2
Paul Rothemund,2
Johann Hari,2
Levon Biss,2
Aparna Pallavi,2
Tim Ferriss,2
Titus Kaphar,2
Will Potter,2
Miracle Jones,2
Chris Milk,2
Tal Danino,2
Ray Dalio,2
Diana Nyad,2
Maz Jobrani,2
Asha de Vos,2
Chip Conley,2
Richard Browning,2
Matt Cutts,2
Suzanne Lee,2
Stanley McChrystal,2
Jane Fonda,2
Frans Lanting,2
Rebeca Hwang,2
Christiana Figueres,2
Saul Griffith,2
Mike Gil,2
Francis de los Reyes,2
Richard Coffin,2
Maryn McKenna,2
Joshua W. Pate,2
Elizabeth Lesser,2
TED,2
Misha Glenny,2
Jedidah Isler,2
Armand D'Angour,2
Laura Boushnak,2
Jonathan Harris,2
Nalini Nadkarni,2
Wanis Kabbaj,2
Nick Hanauer,2
Rodney Brooks,2
George Whitesides,2
Tim Brown,2
Taryn Simon,2
Lisa Genova,2
Sonia Shah,2
Will Marshall,2
Marc Bamuthi Joseph,2
Becca McCharen-Tran,1
Francis Collins,1
Erica Joy Baker,1
Sebastian Guo,1
Theo Jansen,1
Jennifer Pahlka,1
Huang Hung,1
Anastasia Taylor-Lind,1
Angie Murimirwa,1
Lorrie Faith Cranor,1
Peter Mende-Siedlecki,1
Mani Vajipey,1
Sara C. Mednick,1
Paul Tasner,1
Cynthia Erivo and Gary Motley,1
Christopher Emdin,1
Shweta Narayan,1
Ernesto Sirolli,1
Geoffrey Canada,1
Morgan Spurlock,1
David Burkus,1
Negin Farsad,1
Theresa A. Yugar,1
Elizabeth Lev,1
Stuart Russell,1
Ingrid Betancourt,1
Chade-Meng Tan,1
Juliane Gallina,1
Candy Chang,1
Rick Falkvinge,1
Jason Jay,1
Peter Calthorpe,1
Deb Roy,1
Eric Mibuari,1
Kamau Gachigi,1
Neil MacGregor,1
LeeAnn Renninger,1
Bijan Zakeri,1
Wanda Irving,1
Natalie Gunn,1
Mary Maker,1
Adrián Paenza,1
Alexis Jones,1
Sayu Bhojwani,1
Priti Krishtel,1
Rosamund Adoo-Kissi-Debrah,1
Richard Thompson Ford,1
John Amory,1
Jon Boogz and Lil Buck,1
Kevin Breel,1
YeYoon Kim,1
Patrick Lin,1
"Johnny Staats, Davey Vaughn",1
Chris Anderson (TED),1
Amy Cuddy,1
Gian Giudice,1
Jessica Shortall,1
David Baron,1
Jackson Bird,1
David R. Liu,1
Henry Lin,1
Severn Cullis-Suzuki,1
Michael Pollan,1
Prince William,1
Laura Trice,1
Jane Velkovski,1
Jake Wood,1
Susan Cain,1
Huang Yi & KUKA,1
Pedro Brugarolas,1
Alice Bows-Larkin,1
Elizabeth Waters,1
Genevieve von Petzinger,1
Philip Lubin,1
Wanjira Mathai,1
Anjan Sundaram,1
Leslie T. Chang,1
Susan Solomon,1
Alayna Vaughan,1
Steven Petrow,1
Tali Sharot,1
 B.E.A.T. NYC,1
Jamil Abu-Wardeh,1
Beth Malone,1
Asher Hasan,1
Alastair Parvin,1
Celeste Headlee,1
Inhi Cho Suh,1
Shyam Sankar,1
Frederick Balagadde,1
Jakob Magolan,1
Chris Burkard,1
G.T. Bynum,1
Clemantine Wamariya,1
Helen Farr and Jon Adams,1
Jer Thorp,1
Michele L. Sullivan,1
David Wenham,1
David Puts,1
Giles Duley,1
Pavan Sukhdev,1
Amber M. Yates,1
Rich Benjamin,1
Lillian Faderman,1
Jamie Bartlett,1
Jean-Paul Mari,1
Simona Francese,1
Renzo Piano,1
Taika Waititi,1
 The Bloom Twins,1
Read Montague,1
Ron McCallum,1
Radhika Nagpal,1
Katherine M. Gehl,1
Adena Friedman,1
Katharine Hayhoe,1
Shari Davis,1
Liz Kleinrock,1
"Aaron Duffy, Lake Buckley and Jack Foster",1
Sandrine Thuret,1
Monica Lewinsky,1
Peter Ward,1
Onora O'Neill,1
Joe von Fischer,1
Jacqueline Woodson,1
Chen Qiufan,1
Taiye Selasi,1
Hosted by Mark Ruffalo and Don Cheadle,1
Hongqiao Liu,1
Frans von der Dunk,1
James Watson,1
Thomas Heatherwick,1
Janelle Peters,1
David Merrill,1
David Pizarro,1
Ai-jen Poo,1
Kate Stafford,1
Jo Michael Rezes,1
Julissa Prado,1
Jeanne Pinder,1
Stuart Firestein,1
Tracy Edwards,1
Dan Schulman,1
Kade Crockford,1
Elliot Krane,1
Joe Davis,1
Emmanuel Jal,1
Magda Sayeg,1
Raj Jayadev,1
Martin Jacques,1
Bina Venkataraman,1
Béatrice Coron,1
Shaka Senghor,1
Mike Biddle,1
Claire Malone,1
Sydney Jensen,1
Hosted by Al Gore and Jaden Smith,1
Jeremy Jackson,1
Russ Altman,1
Zachariah Mampilly,1
Ashwini Anburajan,1
Caro Verbeek,1
Tomer Garzberg,1
Evan Grant,1
Sunni Patterson,1
Garry Kasparov,1
Kristiina J. Hurme and Alejandro Rico-Guevara,1
Axel Reinaud,1
Nabila Alibhai,1
Shekinah Elmore,1
Trita Parsi,1
Ben Longdon,1
Nathalia Holt,1
Magnus Larsson,1
Frances Larson,1
Noa Kageyama and Pen-Pen Chen,1
Bjorn Lomborg,1
Luis Zambrano,1
Graham Baird,1
Steven Zheng,1
Freeman Dyson,1
Tiffany Kagure Mugo and Siphumeze Khundayi,1
Moreangels Mbizah,1
Anjan Chatterjee,1
Bill Burnett,1
Matt Trombley,1
Bunker Roy,1
Megan Ming Francis,1
Roger Ebert,1
Lieven Scheire,1
Maria Van Kerkhove,1
Riitta Ikonen and Karoline Hjorth,1
Natalie Warne,1
Diane Allen,1
Amy Smith,1
Grantly Galland and Raiana McKinney,1
Takaharu Tezuka,1
Djazia Satour,1
John McKown,1
Deepika Kurup,1
Robert Gordon,1
Paul McEuen and Marc Miskin,1
Ariana Curtis,1
Maria Dubovitskaya,1
Paul O'Connell,1
Daniel Engber,1
Katrina Spade,1
Emma Teeling,1
Tracey McNamara,1
Dropbox,1
Amelia Laytham,1
Margaret Bourdeaux,1
Marah J. Hardt,1
Alison Gopnik,1
Jeremy Gilley,1
Rachel Wurzman,1
Mitchell Besser,1
Derek Sarno,1
Nathaniel Kahn,1
Nadine Hachach-Haram,1
Natalie Panek,1
Megan Kamerick,1
Russell Foster,1
Sarah Lewis,1
Joshua Foer,1
David Schwartz,1
Tomás Chor,1
Mike Brady and Dion Drew,1
Jason McCue,1
Carolyn Bertozzi,1
Amy Padnani,1
Bruno Michel,1
Nicole Maines,1
Stuart Duncan,1
Allan Jones,1
Arianna Huffington,1
Marcos Aguiar,1
Sam Rodriques,1
Gautam Bhan,1
Oren Yakobovich,1
Suheir Hammad,1
Esther Sullivan,1
Lorin Swint Matthews,1
Andrew Zimmerman Jones,1
Ahmad M. Hasnah,1
Kirsty Duncan,1
Heidi M. Sosik,1
Jae Rhim Lee,1
Reynaldo Lopes,1
Nikolai Begg,1
Mark Roth,1
Carmen Jiménez Borja,1
Alejandro Sánchez Alvarado,1
Ben Pring,1
Luma Mufleh,1
Jamais Cascio,1
Dee Boersma,1
Armando Azua-Bustos,1
Susan Shaw,1
Ramanan Laxminarayan,1
Shalini Unnikrishnan,1
Iwan Baan,1
Stacy Smith,1
Anne Scherer,1
Tina Arrowood,1
David Steindl-Rast,1
Gianluca Ambrosetti,1
David Damberger,1
Tara Winkler,1
Dan Katz,1
Jeannie Suk Gersen,1
Maruša Brada,1
Sarah Bergbreiter,1
Kang Lee,1
Elizabeth Lindsey,1
Marc Abrahams,1
Kym Worthy,1
Edmond Hui,1
Andrew Forrest,1
McKenna Pope,1
Patrick McGinnis,1
DeAndrea Salvador,1
Walter Hood,1
Bel Pesce,1
Ishan Bhabha,1
Isha Datar,1
Martin Hilpert,1
Stephen DeBerry,1
Alexander Wagner,1
Elaine Morgan,1
J. Marshall Shepherd,1
Marcus Bullock,1
Joel Burns,1
Amy Lockwood,1
Stephanie Braccini Slade,1
Nyle DiMarco,1
Rebecca Tarvin,1
Niels Diffrient,1
Yami Joshi,1
Sue Austin,1
Deanna Pucciarelli,1
Cynthia Breazeal,1
Danielle Citron,1
Priscilla Chomba-Kinywa,1
Noriko Arai,1
Robin Steinberg,1
Harish Manwani,1
Andri Snær Magnason,1
Michael Uslan,1
Maajid Nawaz,1
Josh Giegel,1
Kriti Sharma,1
Yifat Susskind,1
Bill and Melinda Gates,1
Aaron Morris,1
Leo Q. Wan,1
Michael Specter,1
Thomas Boothby,1
Jonas Eliasson,1
Liene Ozoliņa,1
Jack Choi,1
Jennifer Granholm,1
Kostas Karpouzis,1
 Kesha,1
Molly Winter,1
Deanna Van Buren,1
Apollo Robbins,1
